Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위
2001,KIA,1491.36,1502.47,15.69,-0.71,89.38,,,,,,,,,,,,,,,,,,
2017,삼성,1466.51,1499.92,46.58,-0.72,89.24,,,,,,,,,,,,,,,,,,
2008,KIA,1471.16,1501.35,41.64,-0.73,89.12,,,,,,,,,,,,,,,,,,
2007,LG,1476.58,1500.01,31.95,-0.73,89,,,,,,,,,,,,,,,,,,
2016,롯데,1467.49,1499.81,43.63,-0.74,88.89,,,,,,,,,,,,,,,,,,
2019,KIA,1464.58,1499.99,47.61,-0.74,88.85,,,,,,,,,,,,,,,,,,
1997,삼청태현,1465.53,1500,46.07,-0.75,88.78,,,,,,,,,,,,,,,,,,
2005,삼청태현,1467.31,1500.06,43.28,-0.76,88.65,,,,,,,,,,,,,,,,,,
2004,LG,1471.56,1500.16,37.65,-0.76,88.61,,,,,,,,,,,,,,,,,,
1985,LG,1464.23,1500,46.64,-0.77,88.49,,,,,,,,,,,,,,,,,,
2012,LG,1472.92,1500.03,34.95,-0.78,88.36,,,,,,,,,,,,,,,,,,
2019,삼성,1462.55,1499.99,47.61,-0.79,88.2,,,,,,,,,,,,,,,,,,
2019,한화,1462.43,1499.99,47.61,-0.79,88.17,,,,,,,,,,,,,,,,,,
1994,롯데,1473.7,1500,33.22,-0.79,88.12,,,,,,,,,,,,,,,,,,
2024,한화,1477.62,1500,28.21,-0.79,88.1,,,,,,,,,,,,,,,,,,
2001,한화,1489.99,1502.47,15.69,-0.8,88.07,,,,,,,,,,,,,,,,,,
1983,삼청태현,1476.52,1500,29.46,-0.8,88.04,,,,,,,,,,,,,,,,,,
1989,두산,1468.28,1500,39.6,-0.8,87.98,,,,,,,,,,,,,,,,,,
2003,LG,1459.23,1500.4,51.12,-0.81,87.92,,,,,,,,,,,,,,,,,,
1997,한화,1462.52,1500,46.07,-0.81,87.8,,,,,,,,,,,,,,,,,,
2011,한화,1466.07,1500.09,41.44,-0.82,87.69,,,,,,,,,,,,,,,,,,
2005,LG,1464.44,1500.06,43.28,-0.82,87.65,,,,,,,,,,,,,,,,,,
1987,한화,1473.6,1500,31.98,-0.83,87.62,,,,,,,,,,,,,,,,,,
2007,삼청태현,1472.99,1500.01,31.95,-0.85,87.31,,,,,,,,,,,,,,,,,,
1995,삼청태현,1462.63,1500,43.81,-0.85,87.21,,,,,,,,,,,,,,,,,,
1996,LG,1468.25,1500,36.99,-0.86,87.13,,,,,,,,,,,,,,,,,,
2023,삼성,1468.72,1500,35.78,-0.87,86.88,,,,,,,,,,,,,,,,,,
2018,KT,1469.37,1499.97,34.06,-0.9,86.52,,,,,,,,,,,,,,,,,,
1991,삼청태현,1454.38,1500,50.33,-0.91,86.4,,,,,,,,,,,,,,,,,,
2010,키움,1458.56,1500.22,45.24,-0.92,86.19,,,,,,,,,,,,,,,,,,
2025,롯데,1468.44,1500,34.01,-0.93,86.08,,,,,,,,,,,,,,,,,,
1995,한화,1459.09,1500,43.81,-0.93,85.99,,,,,,,,,,,,,,,,,,
2011,LG,1459.39,1500.09,41.44,-0.98,85.27,,,,,,,,,,,,,,,,,,
2015,KT,1457.63,1499.52,41.55,-1.01,84.88,,,,,,,,,,,,,,,,,,
2008,키움,1459.3,1501.35,41.64,-1.01,84.85,,,,,,,,,,,,,,,,,,
2004,롯데,1461.94,1500.16,37.65,-1.02,84.77,,,,,,,,,,,,,,,,,,
2018,LG,1465.25,1499.97,34.06,-1.02,84.71,,,,,,,,,,,,,,,,,,
2000,한화,1456.63,1506.19,48.57,-1.02,84.7,,,,,,,,,,,,,,,,,,
2001,SSG,1486.38,1502.47,15.69,-1.03,84.62,,,,,,,,,,,,,,,,,,
2007,KIA,1467.17,1500.01,31.95,-1.03,84.58,,,,,,,,,,,,,,,,,,
1994,두산,1465.82,1500,33.22,-1.03,84.57,,,,,,,,,,,,,,,,,,
2009,LG,1448.21,1500.54,50,-1.05,84.3,,,,,,,,,,,,,,,,,,
1994,쌍방울,1464.43,1500,33.22,-1.07,83.94,,,,,,,,,,,,,,,,,,
1991,LG,1445.84,1500,50.33,-1.08,83.86,,,,,,,,,,,,,,,,,,
1996,삼성,1460.01,1500,36.99,-1.08,83.79,,,,,,,,,,,,,,,,,,
2015,KIA,1453.7,1499.52,41.55,-1.1,83.46,,,,,,,,,,,,,,,,,,
2005,KIA,1451.58,1500.06,43.28,-1.12,83.2,,,,,,,,,,,,,,,,,,
1986,한화,1436.78,1500,56.38,-1.12,83.18,,,,,,,,,,,,,,,,,,
2006,롯데,1466.06,1500.03,30.2,-1.12,83.13,,,,,,,,,,,,,,,,,,
2022,두산,1449.54,1500,44.33,-1.14,82.92,,,,,,,,,,,,,,,,,,
2000,SSG,1450.75,1506.19,48.57,-1.14,82.88,,,,,,,,,,,,,,,,,,
1989,삼청태현,1454.18,1500,39.6,-1.16,82.64,,,,,,,,,,,,,,,,,,
1985,삼청태현,1445.61,1500,46.64,-1.17,82.51,,,,,,,,,,,,,,,,,,
2009,한화,1441.92,1500.54,50,-1.17,82.41,,,,,,,,,,,,,,,,,,
1998,한화,1459.12,1500,34.42,-1.19,82.18,,,,,,,,,,,,,,,,,,
1990,롯데,1431.17,1500,57.17,-1.2,81.94,,,,,,,,,,,,,,,,,,
2024,NC,1465.79,1500,28.21,-1.21,81.81,,,,,,,,,,,,,,,,,,
2021,KIA,1464.48,1500,28.56,-1.24,81.34,,,,,,,,,,,,,,,,,,
2015,LG,1447.38,1499.52,41.55,-1.25,81.18,,,,,,,,,,,,,,,,,,
2011,키움,1448.06,1500.09,41.44,-1.26,81.17,,,,,,,,,,,,,,,,,,
1996,두산,1453.32,1500,36.99,-1.26,81.07,,,,,,,,,,,,,,,,,,
2012,한화,1455.63,1500.03,34.95,-1.27,80.94,,,,,,,,,,,,,,,,,,
2023,키움,1452.87,1500,35.78,-1.32,80.24,,,,,,,,,,,,,,,,,,
2020,SSG,1441.9,1500,43.86,-1.32,80.13,,,,,,,,,,,,,,,,,,
1983,롯데,1460.27,1500,29.46,-1.35,79.77,,,,,,,,,,,,,,,,,,
2023,한화,1451.69,1500,35.78,-1.35,79.75,,,,,,,,,,,,,,,,,,
1993,쌍방울,1418.94,1500,59.85,-1.35,79.68,,,,,,,,,,,,,,,,,,
1998,롯데,1453.29,1500,34.42,-1.36,79.64,,,,,,,,,,,,,,,,,,
2014,KIA,1421.65,1498.65,56.16,-1.37,79.43,,,,,,,,,,,,,,,,,,
2008,LG,1443.77,1501.35,41.64,-1.38,79.25,,,,,,,,,,,,,,,,,,
1987,삼청태현,1453.78,1500,31.98,-1.45,78.32,,,,,,,,,,,,,,,,,,
2004,한화,1445.69,1500.16,37.65,-1.45,78.3,,,,,,,,,,,,,,,,,,
1997,롯데,1432.99,1500,46.07,-1.45,78.19,,,,,,,,,,,,,,,,,,
1986,삼청태현,1416.73,1500,56.38,-1.48,77.85,,,,,,,,,,,,,,,,,,
2018,NC,1448.52,1499.97,34.06,-1.51,77.34,,,,,,,,,,,,,,,,,,
1990,두산,1412.33,1500,57.17,-1.53,77,,,,,,,,,,,,,,,,,,
1995,쌍방울,1432.29,1500,43.81,-1.55,76.82,,,,,,,,,,,,,,,,,,
2010,한화,1429.83,1500.22,45.24,-1.56,76.66,,,,,,,,,,,,,,,,,,
1988,삼청태현,1428.05,1500,45.81,-1.57,76.44,,,,,,,,,,,,,,,,,,
1993,삼청태현,1405.14,1500,59.85,-1.58,76.23,,,,,,,,,,,,,,,,,,
1984,삼청태현,1451.03,1500,29.34,-1.67,74.97,,,,,,,,,,,,,,,,,,
2024,키움,1451.03,1500,28.21,-1.74,73.96,,,,,,,,,,,,,,,,,,
1982,삼청태현,1374.9,1500,71.98,-1.74,73.93,,,,,,,,,,,,,,,,,,
2019,롯데,1417.16,1499.99,47.61,-1.74,73.9,,,,,,,,,,,,,,,,,,
2013,KIA,1428.74,1500.01,40.41,-1.76,73.55,,,,,,,,,,,,,,,,,,
2003,롯데,1408.69,1500.4,51.12,-1.79,73.09,,,,,,,,,,,,,,,,,,
2017,KT,1415.47,1499.92,46.58,-1.81,72.81,,,,,,,,,,,,,,,,,,
2006,LG,1445.08,1500.03,30.2,-1.82,72.71,,,,,,,,,,,,,,,,,,
2014,한화,1396.02,1498.65,56.16,-1.83,72.59,,,,,,,,,,,,,,,,,,
2013,한화,1424.79,1500.01,40.41,-1.86,72.08,,,,,,,,,,,,,,,,,,
1992,쌍방울,1419.54,1500,42.9,-1.88,71.87,,,,,,,,,,,,,,,,,,
2021,한화,1446.24,1500,28.56,-1.88,71.76,,,,,,,,,,,,,,,,,,
2002,롯데,1403.79,1500.99,50.51,-1.92,71.14,,,,,,,,,,,,,,,,,,
2022,한화,1414.22,1500,44.33,-1.94,70.97,,,,,,,,,,,,,,,,,,
2020,한화,1412.54,1500,43.86,-1.99,70.09,,,,,,,,,,,,,,,,,,
2016,KT,1410.11,1499.81,43.63,-2.06,69.16,,,,,,,,,,,,,,,,,,
2025,키움,1429.51,1500,34.01,-2.07,68.91,,,,,,,,,,,,,,,,,,
1999,쌍방울,1376.26,1500,57.36,-2.16,67.64,,,,,,,,,,,,,,,,,,
