Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위
2004,삼성,1544.05,1500.16,37.65,1.17,117.49,,,,,,,,,,,,,,,,,,
1991,한화,1558.47,1500,50.33,1.16,117.43,,,,,,,,,,,,,,,,,,
2010,SSG,1551.85,1500.22,45.24,1.14,117.12,,,,,,,,,,,,,,,,,,
1995,두산,1549.21,1500,43.81,1.12,116.85,,,,,,,,,,,,,,,,,,
2013,삼성,1545.25,1500.01,40.41,1.12,116.79,,,,,,,,,,,,,,,,,,
1986,삼성,1562.6,1500,56.38,1.11,116.66,,,,,,,,,,,,,,,,,,
2025,한화,1537.78,1500,34.01,1.11,116.66,,,,,,,,,,,,,,,,,,
2014,키움,1559.82,1498.65,56.16,1.09,116.34,,,,,,,,,,,,,,,,,,
2004,삼청태현,1541.16,1500.16,37.65,1.09,116.33,,,,,,,,,,,,,,,,,,
2010,삼성,1549.23,1500.22,45.24,1.08,116.25,,,,,,,,,,,,,,,,,,
2023,KT,1537.47,1500,35.78,1.05,115.71,,,,,,,,,,,,,,,,,,
2021,LG,1529.08,1500,28.56,1.02,115.27,,,,,,,,,,,,,,,,,,
1982,삼성,1572.56,1500,71.98,1.01,115.12,,,,,,,,,,,,,,,,,,
1997,쌍방울,1546.13,1500,46.07,1,115.02,,,,,,,,,,,,,,,,,,
2020,두산,1543.19,1500,43.86,0.98,114.77,,,,,,,,,,,,,,,,,,
2017,롯데,1545.7,1499.92,46.58,0.98,114.74,,,,,,,,,,,,,,,,,,
1990,LG,1555.58,1500,57.17,0.97,114.58,,,,,,,,,,,,,,,,,,
1990,KIA,1554.15,1500,57.17,0.95,114.21,,,,,,,,,,,,,,,,,,
2016,NC,1540.97,1499.81,43.63,0.94,114.15,,,,,,,,,,,,,,,,,,
1997,KIA,1543.37,1500,46.07,0.94,114.12,,,,,,,,,,,,,,,,,,
2006,삼성,1528.17,1500.03,30.2,0.93,113.98,,,,,,,,,,,,,,,,,,
1995,롯데,1540.52,1500,43.81,0.93,113.88,,,,,,,,,,,,,,,,,,
2006,삼청태현,1527.7,1500.03,30.2,0.92,113.75,,,,,,,,,,,,,,,,,,
1993,KIA,1553.58,1500,59.85,0.9,113.43,,,,,,,,,,,,,,,,,,
1999,두산,1550.56,1500,57.36,0.88,113.22,,,,,,,,,,,,,,,,,,
2014,삼성,1547.78,1498.65,56.16,0.87,113.12,,,,,,,,,,,,,,,,,,
